# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635540.1	1	695	+							BQ7358_RS00005	695		partial
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635540.1	1	695	+	WP_159428381.1	WP_159428381.1		LPXTG cell wall anchor domain-containing protein			BQ7358_RS00005	695	230	partial
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635541.1	1	762	+							BQ7358_RS00010	762		partial
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635541.1	1	762	+	WP_072520077.1	WP_072520077.1		DUF6017 domain-containing protein			BQ7358_RS00010	762	253	partial
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635541.1	765	1250	+							BQ7358_RS00015	486		
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635541.1	765	1250	+	WP_006268784.1	WP_006268784.1		PcfB family protein			BQ7358_RS00015	486	161	
gene	pseudogene	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635542.1	1	234	+							BQ7358_RS00020	234		partial;pseudo
CDS	without_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635542.1	1	234	+				recombinase			BQ7358_RS00020	234		partial;pseudo
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635542.1	236	999	+							BQ7358_RS00025	764		partial
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635542.1	236	999	+	WP_159428382.1	WP_159428382.1		recombinase family protein			BQ7358_RS00025	764	254	partial
gene	rRNA	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635543.1	6	120	-					rrf		BQ7358_RS00030	115		
rRNA		GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635543.1	6	120	-				5S ribosomal RNA	rrf		BQ7358_RS00030	115		
gene	rRNA	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635543.1	193	3073	-							BQ7358_RS00035	2881		
rRNA		GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635543.1	193	3073	-				23S ribosomal RNA			BQ7358_RS00035	2881		
gene	rRNA	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635543.1	3287	4842	-							BQ7358_RS00040	1556		
rRNA		GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635543.1	3287	4842	-				16S ribosomal RNA			BQ7358_RS00040	1556		
gene	rRNA	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	1	95	-							BQ7358_RS08710	95		partial
rRNA		GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	1	95	-				16S ribosomal RNA			BQ7358_RS08710	95		partial
gene	tRNA	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	214	287	-							BQ7358_RS00045	74		
tRNA		GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	214	287	-				tRNA-Gly			BQ7358_RS00045	74		anticodon=TCC
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	745	1785	-							BQ7358_RS00050	1041		
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	745	1785	-	WP_062172064.1	WP_062172064.1		LacI family DNA-binding transcriptional regulator			BQ7358_RS00050	1041	346	
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	2134	3087	-							BQ7358_RS00055	954		
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	2134	3087	-	WP_062172069.1	WP_062172069.1		L-lactate dehydrogenase			BQ7358_RS00055	954	317	
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	3728	4918	-							BQ7358_RS00060	1191		
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	3728	4918	-	WP_062172073.1	WP_062172073.1		MFS transporter			BQ7358_RS00060	1191	396	
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	5056	6195	-					dnaN		BQ7358_RS00065	1140		
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	5056	6195	-	WP_072520079.1	WP_072520079.1		DNA polymerase III subunit beta	dnaN		BQ7358_RS00065	1140	379	
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	6332	7807	-					dnaA		BQ7358_RS00070	1476		
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	6332	7807	-	WP_072520080.1	WP_072520080.1		chromosomal replication initiator protein DnaA	dnaA		BQ7358_RS00070	1476	491	
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	8331	8465	+					rpmH		BQ7358_RS00075	135		
CDS	with_protein	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	8331	8465	+	WP_062172082.1	WP_062172082.1		50S ribosomal protein L34	rpmH		BQ7358_RS00075	135	44	
gene	protein_coding	GCF_900120125.1	Primary Assembly	unplaced scaffold		NZ_LT635544.1	8755	9087	+					rnpA		BQ7358_RS00080	333		
