# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	1	1282	-							HMPREF1871_00001	1282		partial
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	1	1282	-	KXB58935.1			hypothetical protein			HMPREF1871_00001	1282	427	partial
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	1441	1632	+							HMPREF1871_00002	192		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	1441	1632	+	KXB58936.1			hypothetical protein			HMPREF1871_00002	192	63	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	1682	2839	-							HMPREF1871_00003	1158		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	1682	2839	-	KXB58937.1			YceG family protein			HMPREF1871_00003	1158	385	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	2841	3164	-							HMPREF1871_00004	324		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	2841	3164	-	KXB58938.1			hypothetical protein			HMPREF1871_00004	324	107	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	3164	3601	-							HMPREF1871_00005	438		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	3164	3601	-	KXB58939.1			RNAse H domain protein, YqgF family			HMPREF1871_00005	438	145	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	3601	3855	-							HMPREF1871_00006	255		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	3601	3855	-	KXB58940.1			hypothetical protein			HMPREF1871_00006	255	84	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	3869	4699	-							HMPREF1871_00007	831		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	3869	4699	-	KXB58941.1			EDD domain protein, DegV family			HMPREF1871_00007	831	276	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	4692	5189	-							HMPREF1871_00008	498		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	4692	5189	-	KXB58942.1			dihydrofolate reductase			HMPREF1871_00008	498	165	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	5200	6135	-							HMPREF1871_00009	936		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	5200	6135	-	KXB58943.1			thymidylate synthase			HMPREF1871_00009	936	311	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	6145	6537	-							HMPREF1871_00010	393		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	6145	6537	-	KXB58944.1			transcriptional regulator MntR			HMPREF1871_00010	393	130	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	6548	7336	-							HMPREF1871_00011	789		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	6548	7336	-	KXB58945.1			dinuclear metal center protein, YbgI family			HMPREF1871_00011	789	262	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	7660	9966	+							HMPREF1871_00012	2307		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	7660	9966	+	KXB58946.1			helicase, RecD/TraA family			HMPREF1871_00012	2307	768	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	10024	10920	-							HMPREF1871_00013	897		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	10024	10920	-	KXB58947.1			pseudouridine synthase, RluA family			HMPREF1871_00013	897	298	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	10967	11206	-							HMPREF1871_00014	240		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	10967	11206	-	KXB58948.1			hypothetical protein			HMPREF1871_00014	240	79	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	11206	11430	-							HMPREF1871_00015	225		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	11206	11430	-	KXB58949.1			hypothetical protein			HMPREF1871_00015	225	74	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	11423	11980	-							HMPREF1871_00016	558		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	11423	11980	-	KXB58950.1			ribosome recycling factor			HMPREF1871_00016	558	185	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	12000	12758	-							HMPREF1871_00017	759		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	12000	12758	-	KXB58951.1			UMP kinase			HMPREF1871_00017	759	252	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	12786	13667	-							HMPREF1871_00018	882		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	12786	13667	-	KXB58952.1			translation elongation factor Ts			HMPREF1871_00018	882	293	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	13704	14456	-							HMPREF1871_00019	753		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	13704	14456	-	KXB58953.1			ribosomal protein S2			HMPREF1871_00019	753	250	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	14734	15900	-							HMPREF1871_00020	1167		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	14734	15900	-	KXB58954.1			GA module			HMPREF1871_00020	1167	388	
gene	tRNA	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	16441	16517	-							HMPREF1871_00021	77		
tRNA		GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	16441	16517	-				tRNA-Arg			HMPREF1871_00021	77		
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	16744	16923	-							HMPREF1871_00022	180		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	16744	16923	-	KXB58955.1			hypothetical protein			HMPREF1871_00022	180	59	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	17143	17415	-							HMPREF1871_00023	273		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	17143	17415	-	KXB58956.1			ribosomal protein S15			HMPREF1871_00023	273	90	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	17529	18467	-							HMPREF1871_00024	939		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	17529	18467	-	KXB58957.1			riboflavin biosynthesis protein RibF			HMPREF1871_00024	939	312	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	18481	19398	-							HMPREF1871_00025	918		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	18481	19398	-	KXB58958.1			tRNA pseudouridine synthase B			HMPREF1871_00025	918	305	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	19395	19835	-							HMPREF1871_00026	441		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	19395	19835	-	KXB58959.1			transcriptional regulator, Fur family			HMPREF1871_00026	441	146	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	19856	21175	-							HMPREF1871_00027	1320		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	19856	21175	-	KXB58960.1			putative DEAD-box ATP-dependent RNA helicase CshB			HMPREF1871_00027	1320	439	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	21347	22249	+							HMPREF1871_00028	903		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	21347	22249	+	KXB58961.1			cysteine synthase A			HMPREF1871_00028	903	300	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	22253	22777	+							HMPREF1871_00029	525		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	22253	22777	+	KXB58962.1			putative serine O-acetyltransferase			HMPREF1871_00029	525	174	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	22843	23589	-							HMPREF1871_00030	747		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	22843	23589	-	KXB58963.1			hypothetical protein			HMPREF1871_00030	747	248	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	23583	24437	-							HMPREF1871_00031	855		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	23583	24437	-	KXB58964.1			hypothetical protein			HMPREF1871_00031	855	284	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	24552	25469	-							HMPREF1871_00032	918		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	24552	25469	-	KXB58965.1			thioredoxin-disulfide reductase			HMPREF1871_00032	918	305	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	25489	26286	-							HMPREF1871_00033	798		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	25489	26286	-	KXB58966.1			prolipoprotein diacylglyceryl transferase			HMPREF1871_00033	798	265	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	26289	27224	-							HMPREF1871_00034	936		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	26289	27224	-	KXB58967.1			HPr(Ser) kinase/phosphatase			HMPREF1871_00034	936	311	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	27231	27623	-							HMPREF1871_00035	393		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	27231	27623	-	KXB58968.1			hypothetical protein			HMPREF1871_00035	393	130	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	27636	28562	-							HMPREF1871_00036	927		
