# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	1	675	+							HF965_RS00005	675		partial;old_locus_tag=HF965_00005
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	1	675	+	WP_168421654.1	WP_168421654.1		transposase			HF965_RS00005	675	224	partial
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	840	3278	-							HF965_RS00010	2439		old_locus_tag=HF965_00010
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	840	3278	-	WP_031551112.1	WP_031551112.1		penicillin-binding protein			HF965_RS00010	2439	812	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	3482	4735	+					tyrS		HF965_RS00015	1254		old_locus_tag=HF965_00015
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	3482	4735	+	WP_031551109.1	WP_031551109.1		tyrosine--tRNA ligase	tyrS		HF965_RS00015	1254	417	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	4808	5482	+					rpiA		HF965_RS00020	675		old_locus_tag=HF965_00020
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	4808	5482	+	WP_031551106.1	WP_031551106.1		ribose-5-phosphate isomerase RpiA	rpiA		HF965_RS00020	675	224	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	5494	6510	+							HF965_RS00025	1017		old_locus_tag=HF965_00025
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	5494	6510	+	WP_031551102.1	WP_031551102.1		hypothetical protein			HF965_RS00025	1017	338	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	6555	7589	+							HF965_RS00030	1035		old_locus_tag=HF965_00030
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	6555	7589	+	WP_031551101.1	WP_031551101.1		hypothetical protein			HF965_RS00030	1035	344	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	7693	8691	+							HF965_RS00035	999		old_locus_tag=HF965_00035
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	7693	8691	+	WP_210727737.1	WP_210727737.1		hypothetical protein			HF965_RS00035	999	332	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	8876	9892	+							HF965_RS00040	1017		old_locus_tag=HF965_00040
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	8876	9892	+	WP_210727738.1	WP_210727738.1		hypothetical protein			HF965_RS00040	1017	338	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	9899	10216	+							HF965_RS00045	318		old_locus_tag=HF965_00045
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	9899	10216	+	WP_031551092.1	WP_031551092.1		metal-sulfur cluster assembly factor			HF965_RS00045	318	105	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	10682	11227	+							HF965_RS00050	546		old_locus_tag=HF965_00050
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	10682	11227	+	WP_006363787.1	WP_006363787.1		DUF402 domain-containing protein			HF965_RS00050	546	181	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	11229	12041	+							HF965_RS00055	813		old_locus_tag=HF965_00055
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	11229	12041	+	WP_031551089.1	WP_031551089.1		NAD kinase			HF965_RS00055	813	270	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	12034	12918	+							HF965_RS00060	885		old_locus_tag=HF965_00060
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	12034	12918	+	WP_031551086.1	WP_031551086.1		RluA family pseudouridine synthase			HF965_RS00060	885	294	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	13090	13998	+					cysK		HF965_RS00065	909		old_locus_tag=HF965_00065
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	13090	13998	+	WP_031551083.1	WP_031551083.1		cysteine synthase A	cysK		HF965_RS00065	909	302	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	13998	14525	+					cysE		HF965_RS00070	528		old_locus_tag=HF965_00070
